rank,cluster_id,cluster_score,cluster_title,articles_count,unique_urls,outlets,products,primary_tags,representative_url
17,C011,10.65,Pablo Zeballos y muerte de líder de Tren de Aragua: “No debe interpretarse automáticamente como el fin de la organización”,1,1,Ex-Ante,nacional,sector:politica_estado; sector:infraestructura_concesiones; product:nacional; product:regiones; source:normal_scrape; sector:economia_macro; sector:medioambiente_permisos; sector:laboral_gobernanza,https://www.ex-ante.cl/pablo-zeballos-y-muerte-de-lider-de-tren-de-aragua-no-debe-interpretarse-automaticamente-como-el-fin-de-la-organizacion
18,C012,10.65,"Quién es Annie Walker, la ejecutiva enviada desde EE.UU. para liderar la potente expansión de Walmart en Chile",1,1,Ex-Ante,biz,sector:empresas_finanzas; sector:salud_educacion_social; sector:tecnologia_telecom; sector:politica_estado; sector:medioambiente_permisos; product:nacional; sector:justicia_seguridad; source:normal_scrape,https://www.ex-ante.cl/quien-es-annie-walker-la-ejecutiva-enviada-desde-ee-uu-para-liderar-la-potente-expansion-de-walmart-en-chile
19,C015,10.35,Con costo por niño superior a los $300 mil: el detalle de las indicaciones que ingresará el Gobierno al proyecto de Sala Cuna Universal,2,1,The Clinic,biz; nacional,sector:politica_estado; product:regiones; source:normal_scrape; sector:empresas_finanzas; sector:economia_macro; product:nacional; sector:salud_educacion_social; sector:tecnologia_telecom,https://www.theclinic.cl/2026/06/14/con-costo-por-nino-superior-a-los-300-mil-el-detalle-de-las-indicaciones-que-ingresara-el-gobierno-al-proyecto-de-sala-cuna-universal
20,C020,10.35,"Mario Marcel: “Esta idea de que Chile se quedó atrás, de que nos estamos convirtiendo en una especie de parias, no tiene ningún asidero” | The Clinic",2,1,The Clinic,biz; nacional,sector:politica_estado; sector:economia_macro; product:nacional; sector:empresas_finanzas; source:normal_scrape; sector:salud_educacion_social; product:regiones; sector:tecnologia_telecom,https://www.theclinic.cl/2026/06/14/mario-marcel-esta-idea-de-que-chile-se-quedo-atras-de-que-nos-estamos-convirtiendo-en-una-especie-de-parias-no-tiene-ningun-asidero
21,C021,10.35,"Gustavo Alessandri, presidente de asociación de alcaldes: ""Muchos queremos la megarreforma, pero los municipios no podemos pagar la cuenta” | The Clinic",2,1,The Clinic,nacional; regiones,source:normal_scrape; product:regiones; sector:politica_estado; sector:justicia_seguridad; product:nacional; sector:medioambiente_permisos; sector:economia_macro; sector:salud_educacion_social,https://www.theclinic.cl/2026/06/14/gustavo-alessandri-presidente-de-asociacion-de-alcaldes-muchos-queremos-la-megarreforma-pero-los-municipios-no-podemos-pagar-la-cuenta
22,C027,9.9,Servicio de Salud Los Ríos participó en el Encuentro Nacional de Redes Asistenciales - Diario de Valdivia,2,1,Diariodevaldivia - Chile Argentina,nacional; regiones,sector:salud_educacion_social; source:normal_scrape; product:regiones; sector:justicia_seguridad; sector:politica_estado; region:Los Ríos; sector:economia_macro; region:Biobío; salud,https://www.diariodevaldivia.cl/noticia/salud/2026/06/servicio-de-salud-los-rios-participo-en-el-encuentro-nacional-de-redes-asistenciales
23,C085,9.9,En BiobÃo destacan avance de proyecto de ley que combatirÃ¡ carreras clandestinas y vecinos piden mayor fiscalizaciÃ³n,2,1,Diarioconcepcion,nacional; regiones,sector:justicia_seguridad; product:regiones; source:normal_scrape; sector:politica_estado; sector:infraestructura_concesiones; sector:tecnologia_telecom; sector:empresas_finanzas; region:Magallanes; politica_gobierno,https://www.diarioconcepcion.cl/politica/2026/06/14/en-biobio-destacan-avance-de-proyecto-de-ley-que-combatira-carreras-clandestinas-y-vecinos-piden-mayor-fiscalizacion.html
24,C018,9.85,"Los pasos de Grau después de Hacienda: sus viajes a Uruguay, el temor por no volver a la U. de Chile y la dinamita que prepara el FA si prospera la AC",1,1,The Clinic,nacional,sector:politica_estado; sector:economia_macro; product:nacional; source:normal_scrape; product:regiones; sector:empresas_finanzas; sector:salud_educacion_social; sector:laboral_gobernanza,https://www.theclinic.cl/2026/06/14/los-pasos-de-grau-despues-de-hacienda-sus-viajes-a-uruguay-el-temor-por-no-volver-a-la-u-de-chile-y-la-dinamita-que-prepara-el-fa-si-prospera-la-ac
25,C039,9.6,"Ministro de Vivienda, Iván Poduje visitó Victoria",2,1,Lasnoticiasdemalleco,nacional; regiones,source:normal_scrape; sector:politica_estado; sector:justicia_seguridad; sector:salud_educacion_social; sector:empresas_finanzas; sector:medioambiente_permisos; product:regiones; sector:infraestructura_concesiones; politica_gobierno,https://lasnoticiasdemalleco.cl/politica/ministro-de-vivienda-ivan-poduje-visito-victoria
26,C051,9.6,Casi 80% de las empresas en Chile ya adoptó la jornada laboral de 42 horas semanales,2,1,Elmorrocotudo,biz; nacional,product:regiones; source:normal_scrape; sector:empresas_finanzas; sector:politica_estado; sector:economia_macro; sector:laboral_gobernanza; sector:salud_educacion_social; sector:tecnologia_telecom; economia_negocios,https://www.elmorrocotudo.cl/noticia/economia/casi-80-de-las-empresas-en-chile-ya-adopto-la-jornada-laboral-de-42-horas-semanales
27,C029,9.4,UACh entrega consejos para la PAES de Invierno - Diario Corral,1,1,Diariocorral,regiones,region:Los Ríos; sector:salud_educacion_social; product:regiones; source:normal_scrape; sector:empresas_finanzas; region:Los Lagos; noise:deportes; sector:justicia_seguridad; educacion,https://www.diariocorral.cl/noticia/educacion/2026/06/uach-entrega-consejos-para-la-paes-de-invierno
28,C052,9.4,Chile mira al espacio: nanosatélite SUCHAI-4 llevará 60 experimentos científicos en órbita,1,1,Elmorrocotudo,nacional,product:regiones; region:Metropolitana; source:normal_scrape; sector:empresas_finanzas; sector:salud_educacion_social; noise:deportes; region:Biobío; product:biz; tecnologia,https://www.elmorrocotudo.cl/noticia/tecnologia/chile-mira-al-espacio-nanosatelite-suchai-4-llevara-60-experimentos-cientificos-e
29,C007,9.25,"Criteria: Aprobación de Kast alcanza un 39% y ministros mejor evaluados son Arrau, Chomali y Poduje (Lea aquí la encuesta)",1,1,Ex-Ante,nacional,sector:politica_estado; source:normal_scrape; sector:empresas_finanzas; product:regiones; product:nacional; sector:economia_macro; sector:salud_educacion_social; sector:infraestructura_concesiones,https://www.ex-ante.cl/criteria-aprobacion-de-kast-alcanza-un-39-y-ministros-mejor-evaluados-son-arrau-chomali-y-poduje-lea-aqui-la-encuesta
30,C010,9.25,"Pulso Ciudadano: Aprobación de Kast llega al 30,5% y desaprobación (56,7%) alcanza su punto más alto (Lea aquí la encuesta)",1,1,Ex-Ante,nacional,sector:politica_estado; product:regiones; sector:empresas_finanzas; sector:economia_macro; source:normal_scrape; product:nacional; sector:salud_educacion_social; sector:justicia_seguridad,https://www.ex-ante.cl/pulso-ciudadano-aprobacion-de-kast-llega-al-305-y-desaprobacion-567-alcanza-su-punto-mas-alto-lea-aqui-la-encuesta
31,C037,9.2,¿De qué trata la ley que fortalece la responsabilidad parental firmada por Kast?,2,2,Elamaule; Elrepuertero,nacional,sector:politica_estado; product:regiones; source:normal_scrape; sector:justicia_seguridad; product:nacional; sector:empresas_finanzas; sector:infraestructura_concesiones; sector:economia_macro,https://www.elrepuertero.cl/noticia/sociedad/de-que-trata-la-ley-que-fortalece-la-responsabilidad-parental-firmada-por-kast
32,C048,9.1,Senador Trisotti exige plan especial de emergencia por avance de socavones en Alto Hospicio,2,1,Diariolongino,nacional; regiones,product:regiones; source:normal_scrape; sector:politica_estado; sector:salud_educacion_social; sector:infraestructura_concesiones; sector:empresas_finanzas; sector:justicia_seguridad; sector:tecnologia_telecom,https://diariolongino.cl/senador-trisotti-exige-plan-especial-de-emergencia-por-avance-de-socavones-en-alto-hospicio
33,C050,9.1,¿Hay más delfines en Chile? Expertos explican el fenómeno que sorprende en las costas,1,1,Elmorrocotudo,nacional,medioambiente; region:Maule; product:regiones; sector:medioambiente_permisos; region:Coquimbo; product:biz; region:Valparaíso; region:Atacama; noise:opinion,https://www.elmorrocotudo.cl/noticia/medioambiente/hay-mas-delfines-en-chile-expertos-explican-el-fenomeno-que-sorprende-en-las-c
34,C072,9.1,Formalizan a seis carabineros en Talca por red de falsos allanamientos para sustraer dinero y bienes,2,1,Diarioelcentro,nacional; regiones,product:regiones; source:normal_scrape; sector:justicia_seguridad; region:Maule; sector:politica_estado; sector:empresas_finanzas; sector:salud_educacion_social; sector:infraestructura_concesiones,https://www.diarioelcentro.cl/2026/06/13/formalizan-a-seis-carabineros-en-talca-por-red-de-falsos-allanamientos-para-sustraer-dinero-y-bienes
35,C019,8.95,Columna de Carmen Soza/ Desempleo: el autogol de las últimas reformas,2,1,The Clinic,biz; nacional,sector:empresas_finanzas; sector:laboral_gobernanza; sector:mineria_energia; product:nacional; sector:infraestructura_concesiones; source:normal_scrape; sector:politica_estado; sector:salud_educacion_social,https://www.theclinic.cl/2026/06/14/columna-de-carmen-soza-desempleo-el-autogol-de-las-ultimas-reformas
36,C030,8.8,Detienen a conductor ebrio tras accidente de tránsito en centro de Osorno - Diario de Osorno,1,1,Diariodeosorno,regiones,source:normal_scrape; product:regiones; region:Los Ríos; sector:salud_educacion_social; sector:justicia_seguridad; region:Los Lagos; region:Biobío; noise:deportes; seguridad_judicial,https://www.diariodeosorno.cl/noticia/emergencias/2026/06/detienen-a-conductor-ebrio-tras-accidente-de-transito-en-centro-de-osorno
37,C026,8.75,Millonaria inversión transformará la Ruta 5 Sur desde Río Bueno a Puerto Montt - Diario de Valdivia,2,1,Diariodevaldivia - Chile Argentina,biz; regiones,sector:infraestructura_concesiones; region:Los Lagos; source:normal_scrape; product:regiones; sector:salud_educacion_social; sector:justicia_seguridad; sector:empresas_finanzas; sector:politica_estado,https://www.diariodevaldivia.cl/noticia/actualidad/2026/06/millonaria-inversion-transformara-la-ruta-5-sur-desde-rio-bueno-a-puerto-montt
38,C042,8.75,Puerto de Iquique inicia operaciones de buques factoría con histórica recalada del Maartje Theadora,2,1,Diariolongino,biz; regiones,product:regiones; source:normal_scrape; sector:justicia_seguridad; region:Tarapacá; sector:politica_estado; sector:empresas_finanzas; sector:infraestructura_concesiones; sector:salud_educacion_social,https://diariolongino.cl/puerto-de-iquique-inicia-operaciones-de-buques-factoria-con-historica-recalada-del-maartje-theadora
39,C053,8.75,Cristóbal Marshall: “En los próximos cinco años proyectamos compras por US$3.500 millones en Escondida”,2,1,Timeline,biz; regiones,sector:mineria_energia; product:biz; region:Antofagasta; sector:medioambiente_permisos; source:normal_scrape; sector:politica_estado; sector:empresas_finanzas; sector:justicia_seguridad,https://www.timeline.cl/cristobal-marshall-en-los-proximos-cinco-anos-proyectamos-compras-por-us3-500-millones-en-escondida
40,C054,8.75,“El 60% de esos carabineros que egresen se quedarán en la región»: Delegada y terreno para escuela de formación en Antofagasta,2,1,Timeline,nacional; regiones,sector:politica_estado; source:normal_scrape; product:regiones; sector:justicia_seguridad; sector:medioambiente_permisos; sector:infraestructura_concesiones; sector:empresas_finanzas; sector:salud_educacion_social,https://www.timeline.cl/el-60-de-esos-carabineros-que-egresen-se-quedaran-en-la-region-delegada-y-terreno-para-escuela-de-formacion-en-antofagasta
41,C057,8.75,Exportaciones chilenas crecen 12% en periodo enero – mayo,2,1,Chanarcillo,biz; nacional,sector:empresas_finanzas; product:biz; sector:tecnologia_telecom; sector:economia_macro; noise:deportes; sector:laboral_gobernanza; sector:mineria_energia; sector:infraestructura_concesiones,https://www.chanarcillo.cl/exportaciones-chilenas-crecen-12-en-periodo-enero-mayo
42,C060,8.75,Autoridades y comunidades educativas refuerzan acciones para erradicar el trabajo infantil en la Región de Coquimbo,2,1,Diarioeldia,nacional; regiones,product:regiones; source:normal_scrape; sector:laboral_gobernanza; sector:justicia_seguridad; sector:salud_educacion_social; region:Magallanes; sector:infraestructura_concesiones; sector:medioambiente_permisos,https://www.diarioeldia.cl/noticias/2026/06/14/141211-autoridades-y-comunidades-educativas-refuerzan-acciones-para-erradicar-el-trabajo-infantil-en-la-region-de-coquimbo
43,C063,8.75,El boom minero suma una nueva barrera: San Juan quiere que el negocio quede en casa,2,1,Diariolaregion,biz; regiones,sector:politica_estado; sector:empresas_finanzas; sector:mineria_energia; sector:medioambiente_permisos; source:normal_scrape; product:regiones; sector:laboral_gobernanza; sector:economia_macro,https://www.diariolaregion.cl/el-boom-minero-suma-una-nueva-barrera-san-juan-quiere-que-el-negocio-quede-en-casa
44,C065,8.75,Se enfrentará el invierno con la peor cobertura de vacunación del país,2,1,Diariolaregion,nacional; regiones,product:regiones; sector:salud_educacion_social; source:normal_scrape; sector:politica_estado; sector:justicia_seguridad; sector:empresas_finanzas; region:Atacama; sector:infraestructura_concesiones,https://www.diariolaregion.cl/se-enfrentara-el-invierno-con-la-peor-cobertura-de-vacunacion-del-pais
45,C070,8.75,¿Dónde y por qué se reunió Cathy Barriga con Leda Bergonzi la «sanadora» de Argentina?,2,1,Lavozdemaipu,nacional; regiones,sector:justicia_seguridad; product:regiones; region:Metropolitana; source:normal_scrape; sector:tecnologia_telecom; region:Biobío; sector:laboral_gobernanza; sector:empresas_finanzas,https://lavozdemaipu.cl/cathy-barriga-juicio-oral
46,C073,8.75,Preocupante avance de virus respiratorios en O’Higgins: consultas por influenza aumentan 18% - El Rancagüino,2,1,Elrancaguino,nacional; regiones,product:regiones; sector:salud_educacion_social; source:normal_scrape; sector:politica_estado; sector:empresas_finanzas; sector:justicia_seguridad; sector:infraestructura_concesiones; sector:laboral_gobernanza,https://www.elrancaguino.cl/2026/06/14/preocupante-avance-de-virus-respiratorios-en-ohiggins-consultas-por-influenza-aumentan-18
47,C082,8.75,Rancagua: Entregan inmueble fiscal a Carabineros para moderno centro de comunicaciones y televigilancia,2,1,Eltipografo,nacional; regiones,sector:politica_estado; source:normal_scrape; sector:justicia_seguridad; product:regiones; sector:empresas_finanzas; sector:medioambiente_permisos; sector:infraestructura_concesiones; sector:mineria_energia,https://eltipografo.cl/2026/06/rancagua-entregan-inmueble-fiscal-a-carabineros-para-moderno-centro-de-comunicaciones-y-televigilancia
48,C083,8.75,El reclamo por el agua de TomÃ© tras la aprobaciÃ³n del proyecto de Tierras Raras en Penco,2,1,Diarioconcepcion,biz; regiones,sector:medioambiente_permisos; sector:infraestructura_concesiones; sector:empresas_finanzas; sector:justicia_seguridad; source:normal_scrape; sector:politica_estado; product:regiones; region:Biobío,https://www.diarioconcepcion.cl/ciudad/2026/06/14/el-reclamo-por-el-agua-de-tome-tras-la-aprobacion-del-proyecto-de-tierras-raras-en-penco.html
49,C087,8.75,"Superficie de cultivos anuales, forrajeras y hortalizas en Ñuble alcanza las 137.723 hectáreas",2,1,Ladiscusion,biz; regiones,sector:empresas_finanzas; source:normal_scrape; sector:politica_estado; sector:salud_educacion_social; sector:justicia_seguridad; sector:infraestructura_concesiones; sector:medioambiente_permisos; product:regiones,https://ladiscusion.cl/superficie-de-cultivos-anuales-forrajeras-y-hortalizas-en-nuble-alcanza-las-137-723-hectareas
50,C094,8.75,Fiscalía de Aysén fortalece investigación de femicidios con seminario especializado - Diario Regional Aysén,2,1,Diarioregionalaysen,nacional; regiones,source:normal_scrape; product:regiones; sector:justicia_seguridad; region:Los Ríos; sector:salud_educacion_social; region:Biobío; region:Los Lagos; noise:deportes,https://www.diarioregionalaysen.cl/noticia/actualidad/2026/06/fiscalia-de-aysen-fortalece-investigacion-de-femicidios-con-seminario-especializado
51,C095,8.75,"A dos semanas del plazo, nueve autoridades de Magallanes aún no rinden el control antidrogas obligatorio",2,1,Laprensaaustral,nacional; regiones,source:normal_scrape; sector:politica_estado; product:regiones; sector:justicia_seguridad; sector:salud_educacion_social; sector:empresas_finanzas; product:nacional; sector:laboral_gobernanza,https://laprensaaustral.cl/2026/06/14/a-dos-semanas-del-plazo-nueve-autoridades-de-magallanes-aun-no-rinden-el-control-antidrogas-obligatorio
52,C098,8.75,Seremi Correa afirma que rebaja de impuestos será clave para alcanzar un crecimiento económico del 4%,2,1,Laprensaaustral,biz; nacional,sector:politica_estado; sector:empresas_finanzas; source:normal_scrape; sector:economia_macro; product:nacional; product:regiones; sector:salud_educacion_social; sector:medioambiente_permisos,https://laprensaaustral.cl/2026/06/14/seremi-correa-afirma-que-rebaja-de-impuestos-sera-clave-para-alcanzar-un-crecimiento-economico-del-4
53,C101,8.75,Tras 80 años del descubrimiento del petróleo: ¿Hacia dónde va Enap Magallanes?,2,1,Laprensaaustral,biz; regiones,sector:empresas_finanzas; sector:laboral_gobernanza; region:Magallanes; sector:politica_estado; sector:infraestructura_concesiones; sector:medioambiente_permisos; source:normal_scrape; sector:justicia_seguridad,https://laprensaaustral.cl/2026/06/14/tras-80-anos-del-descubrimiento-del-petroleo-hacia-donde-va-enap-magallanes
54,C103,8.75,CCHC MAGALLANES LANZA CAMPAÑA DE PREVENCIÓN PARA REFORZAR LA SEGURIDAD EN OBRAS DURANTE EL INVIERNO,2,1,Radiopolar,biz; regiones,product:regiones; source:normal_scrape; sector:politica_estado; sector:justicia_seguridad; sector:economia_macro; sector:laboral_gobernanza; sector:infraestructura_concesiones; region:Magallanes,https://www.radiopolar.com/cchc-magallanes-lanza-campana-prevencion-reforzar-seguridad-obras-invierno
55,C106,8.75,PROGRAMA TRANSFORMA ANTÁRTICA AVANZA EN LA CONSTRUCCIÓN DE UNA HOJA DE RUTA PARA EL DESARROLLO DE MAGALLANES,2,1,Radiopolar,biz; regiones,region:Magallanes; product:regiones; source:normal_scrape; sector:empresas_finanzas; region:Valparaíso; sector:infraestructura_concesiones; sector:economia_macro; sector:laboral_gobernanza,https://www.radiopolar.com/programa-transforma-antartica-avanza-construccion-hoja-ruta-desarrollo-magallanes
56,C100,8.65,Gobierno chileno envía 6 toneladas de ayuda humanitaria a Bolivia en medio de crisis,1,1,Laprensaaustral,nacional,sector:politica_estado; product:regiones; product:nacional; region:Metropolitana; source:normal_scrape; sector:empresas_finanzas; sector:justicia_seguridad; sector:infraestructura_concesiones,https://laprensaaustral.cl/2026/06/14/gobierno-chileno-envia-6-toneladas-de-ayuda-humanitaria-a-bolivia-en-medio-de-crisis
57,C084,8.5,Gobierno aclara que ahorros para vivienda no serÃ¡n embargados por cobros del CAE,2,1,Diarioconcepcion,biz; nacional,product:regiones; sector:economia_macro; sector:politica_estado; sector:empresas_finanzas; source:normal_scrape; product:nacional; sector:salud_educacion_social; sector:laboral_gobernanza,https://www.diarioconcepcion.cl/ciudad/2026/06/14/gobierno-aclara-que-ahorros-para-vivienda-no-seran-embargados-por-cobros-del-cae.html
58,C016,8.45,Columna de Luis Cordero: Un ciclo legislativo,1,1,The Clinic,nacional,product:regiones; sector:justicia_seguridad; source:normal_scrape; sector:politica_estado; sector:infraestructura_concesiones; product:nacional; sector:empresas_finanzas; sector:laboral_gobernanza,https://www.theclinic.cl/2026/06/14/columna-de-luis-cordero-un-ciclo-legislativo
59,C017,8.45,Columna de Marco Moreno: La CEP y el agotamiento del crédito político de Kast,1,1,The Clinic,nacional,sector:politica_estado; source:normal_scrape; product:nacional; sector:justicia_seguridad; product:regiones; sector:economia_macro; sector:empresas_finanzas; sector:tecnologia_telecom,https://www.theclinic.cl/2026/06/14/la-cep-y-el-agotamiento-del-credito-politico-de-kast
60,C022,8.45,Editorial: La salud mental importa | The Clinic,1,1,The Clinic,nacional,product:regiones; sector:salud_educacion_social; source:normal_scrape; sector:politica_estado; product:nacional; region:Metropolitana; noise:opinion; sector:empresas_finanzas,https://www.theclinic.cl/2026/06/14/editorial-la-salud-mental-importa
61,C064,8.45,Manouchehri (PS) pide fiscalización urgente en Clínica,2,1,Diariolaregion,nacional; regiones,sector:politica_estado; region:Coquimbo; sector:laboral_gobernanza; product:nacional; sector:ma_distress; source:normal_scrape; product:regiones; sector:salud_educacion_social,https://www.diariolaregion.cl/manouchehri-ps-pide-fiscalizacion-urgente-en-clinica
62,C077,8.45,184 cupos disponibles: Hoy finaliza la Feria Inmobiliaria Minvu–Serviu en Rancagua,2,1,Eltipografo,nacional; regiones,source:normal_scrape; sector:politica_estado; sector:salud_educacion_social; sector:justicia_seguridad; sector:empresas_finanzas; sector:medioambiente_permisos; sector:infraestructura_concesiones; sector:tecnologia_telecom,https://eltipografo.cl/2026/06/184-cupos-disponibles-hoy-finaliza-la-feria-inmobiliaria-minvu-serviu-en-rancagua
